,Code,Class,Family,Genus,Species,Alien,Ash_12_L,Ash_25_L,Akh_12_L,Akh_20_L,Ash_12_D,Ash_25_D,Akh_12_D,Akh_20_D
65,B172,Bivalvia,Mytilidae,Lithophaga,lithophaga,No,0,9,10,4,0,0,0,0
66,B173,Bivalvia,Tellinidae,Peronidia,albicans,No,0,0,0,0,0,0,0,1
67,B182,Bivalvia,Mactridae,Spisula,subtruncata,No,0,0,0,0,0,5,0,0
68,B186,Bivalvia,Mactridae,Mactra,stultorum,No,0,0,0,0,1,1,0,0
69,B188,Bivalvia,Veneridae,Lajonkairia,lajonkairii,No,0,0,0,0,0,0,1,0
70,B191,Bivalvia,Ostreidae,Alectryonella,plicatula,Yes,20,76,36,29,19,17,9,2
71,B192,Bivalvia,Galeommatidae,Nudiscintilla,glabra,Yes,0,0,1,2,0,0,0,0
72,B203,Bivalvia,Pteriidae,Isognomon,legumen,Yes,1,0,0,0,0,0,0,0
73,B208,Bivalvia,Malleidae,Malleus,regula,Yes,46,117,41,8,4,2,6,3
74,B212,Bivalvia,Spondylidae,Spondylus,spinosus,Yes,0,0,0,1,0,0,0,0
75,B213,Bivalvia,Spondylidae,Spondylus,nicobaricus,Yes,0,0,1,2,0,0,0,1
76,B215,Bivalvia,Myidae,Sphenia,rueppellii,Yes,1,2,2,2,1,0,0,0
77,B216,Bivalvia,Chamidae,Chama,pacifica,Yes,0,2,7,15,0,0,0,0
78,B225,Bivalvia,Veneridae,Gafrarium,pectinatum,Yes,5,0,1,0,0,0,0,0
79,B227,Bivalvia,Veneridae,Costellipitar,chordatus,Yes,0,5,0,0,0,7,0,0
80,B229,Bivalvia,Veneridae,Timoclea,marica,Yes,0,0,0,0,0,2,0,0
81,B232,Bivalvia,Mytilidae,Arcuatula,senhousia,Yes,6,0,0,0,1,0,0,0
82,B266,Bivalvia,Pectinidae,Aequipecten,opercularis,No,0,1,0,0,0,0,0,0
83,B269,Bivalvia,Anomiidae,Anomia,ephippium,No,0,0,0,0,2,0,0,0
84,B273,Bivalvia,Tellinidae,Peronaea,planata,No,0,0,0,0,1,1,0,0
85,B306,Bivalvia,Cardiidae,Acanthocardia,echinata,No,0,0,0,0,0,0,0,1
86,B321,Bivalvia,Lasaeidae,Hemilepton,nitidum,No,1,1,1,0,1,3,0,0
87,B341,Bivalvia,Pectinidae,Pecten,jacobaeus,No,0,0,0,0,0,1,0,0
88,B345,Bivalvia,Pholadidae,Pholas,dactylus,No,0,1,0,0,0,0,0,0
89,B453,Bivalvia,Tellinidae,Macomopsis,cumana,No,0,0,0,0,1,1,0,0
90,B460,Bivalvia,Veneridae,Dosinia,exoleta,No,0,0,0,0,0,0,0,1
91,B469,Bivalvia,Bivalvia,Bivalvia,Israel hard substrate sp. 1,Unknown,0,0,0,0,0,1,0,0
92,B470,Bivalvia,Spondylidae,Spondylus,Israel sp. 1,Unknown,0,0,0,0,0,0,1,0
93,B471,Bivalvia,Mytilidae,Gregariella,sp.,Unknown,2,0,0,0,0,0,0,0
94,B473,Bivalvia,Bivalvia,Bivalvia,sp.,Unknown,0,0,0,1,0,0,0,0
95,B481,Bivalvia,Mytilidae,Musculus,aff viridulus,Yes,0,16,27,11,0,0,0,0
96,B482,Bivalvia,Mytilidae,Musculus,aff coenobitus,Yes,0,0,6,0,0,0,0,0
97,G001,Gastropoda,Scaliolidae,Finella,pupoides,Yes,0,0,0,0,0,2,1,0
98,G002,Gastropoda,Cerithiidae,Rhinoclavis,kochi,Yes,23,0,0,0,40,1,0,19
99,G004,Gastropoda,Pyramidellidae,Syrnola,fasciata,Yes,2,0,0,3,0,3,0,0
100,G005,Gastropoda,Cerithiidae,Varicopeza,pauxilla,Yes,0,0,0,0,0,3,0,0
101,G007,Gastropoda,Retusidae,Pyrunculus,fourierii,Yes,68,14,1,65,0,0,0,5
102,G008,Gastropoda,Pyramidellidae,Pyrgulina,pupaeformis,Yes,41,0,243,28,2,0,0,3
103,G009,Gastropoda,Cerithiidae,Cerithidium,diplax,Yes,49,0,317,856,5,12,10,48
104,G010,Gastropoda,Pyramidellidae,Parthenina,interstincta,No,0,0,0,0,0,0,0,1
105,G013,Gastropoda,Mangeliidae,Bela,zonata,No,0,0,0,0,2,0,0,0
106,G015,Gastropoda,Nassariidae,Tritia,pygmaea,No,0,0,0,0,10,37,0,8
107,G017,Gastropoda,Cerithiidae,Bittium,latreillii,No,0,0,44,21,0,8,28,155
108,G018,Gastropoda,Pyramidellidae,Cingulina,isseli,Yes,69,11,117,1,0,0,0,0
109,G020,Gastropoda,Ringiculidae,Ringicula,auriculata,No,0,0,0,0,0,41,0,8
110,G021,Gastropoda,Pyramidellidae,Eulimella,acicula,No,0,0,0,0,0,0,0,1
111,G024,Gastropoda,Iravadiidae,Hyala,vitrea,No,0,0,0,0,0,1,0,0
112,G026,Gastropoda,Cerithiidae,Bittium,reticulatum,No,0,0,0,0,87,51,1,10
113,G027,Gastropoda,Pyramidellidae,Megastomia,conoidea,No,43,5,39,13,2,2,0,0
114,G029,Gastropoda,Retusidae,Cylichnina,crebrisculpta,No,1,0,33,14,6,0,0,4
115,G030,Gastropoda,Pyramidellidae,Folinella,excavata,No,0,0,0,0,0,1,0,1
116,G032,Gastropoda,Triphoridae,Metaxia,metaxa,No,0,0,0,0,0,0,0,2
117,G036,Gastropoda,Eulimidae,Eulima,glabra,No,0,0,0,0,0,3,0,0
118,G039,Gastropoda,Mangeliidae,Sorgenfreispira,brachystoma,No,0,0,0,0,0,1,0,0
119,G044,Gastropoda,Trochidae,Jujubinus,exasperatus,No,0,0,0,0,0,0,3,50
120,G045,Gastropoda,Acteonidae,Acteon,tornatilis,No,0,0,0,0,0,0,0,1
121,G046,Gastropoda,Rissoidae,Alvania,mamillata,No,0,0,0,0,0,7,3,26
122,G047,Gastropoda,Rissoinidae,Rissoina,bruguieri,No,0,0,0,0,0,0,1,15
123,G048,Gastropoda,Conidae,Conus,ventricosus,No,0,0,0,0,0,1,0,3
124,G050,Gastropoda,Rissoidae,Pusillina,philippi,No,8,84,30,23,0,0,3,55
125,G051,Gastropoda,Eulimidae,Parvioris,ibizenca,No,0,0,0,0,0,0,1,0
126,G053,Gastropoda,Naticidae,Neverita,josephinia,No,0,0,0,0,2,2,0,0
128,G061,Gastropoda,Tornidae,Tornus,mienisi,No,0,0,0,0,0,4,0,0
129,G062,Gastropoda,Rissoidae,Crisilla,semistriata,No,0,2,0,0,0,0,0,6
130,G064,Gastropoda,Caecidae,Caecum,trachea,No,0,0,0,0,0,0,0,21
131,G066,Gastropoda,Philinidae,Philine,aperta,No,1,0,0,0,0,0,0,0
133,G075,Gastropoda,Pyramidellidae,Pyrgiscus,rufus,No,0,0,0,0,3,1,0,0
134,G077,Gastropoda,Pyramidellidae,Parthenina,monozona,No,0,0,0,0,0,1,0,0
135,G081,Gastropoda,Trochidae,Pseudominolia,nedyma,Yes,0,0,0,0,0,1,0,0
136,G085,Gastropoda,Conradiidae,Conradia,eutornisca,Yes,3,4,4,26,0,0,1,4
137,G087,Gastropoda,Caecidae,Parastrophia,asturiana,No,0,0,0,0,0,0,0,2
138,G089,Gastropoda,Strombidae,Conomurex,persicus,Yes,0,0,45,8,3,0,17,41
139,G094,Gastropoda,Mangeliidae,Mangelia,unifasciata,No,0,0,0,0,0,0,0,1
140,G097,Gastropoda,Rissoidae,Rissoa,similis,No,0,0,1,0,76,0,0,0
141,G099,Gastropoda,Gastropoda,Gastropoda,sp. 2,Unknown,0,0,0,0,2,0,0,0
142,G102,Gastropoda,Cerithiidae,Cerithium,scabridum,Yes,121,0,1413,378,8,0,292,16
143,G104,Gastropoda,Retusidae,Retusa,desgenettii,Yes,1,0,0,0,0,0,0,0
144,G105,Gastropoda,Rhizoridae,Volvulella,acuminata,No,0,0,0,0,0,1,0,0
145,G107,Gastropoda,Pyramidellidae,Spiralinella,incerta,No,0,0,0,0,0,0,1,0
146,G109,Gastropoda,Pyramidellidae,Turbonilla,hamata,No,0,0,0,0,0,0,0,2
147,G112,Gastropoda,Cerithiopsidae,Cerithiopsis,tubercularis,No,0,0,0,0,0,0,0,6
148,G113,Gastropoda,Fissurellidae,Fissurella,nubecula,No,0,0,0,1,1,0,0,0
149,G118,Gastropoda,Rissoidae,Rissoa,paradoxa,No,0,0,0,0,1,0,0,0
150,G119,Gastropoda,Pisaniidae,Aplus,scacchianus,No,0,0,0,0,0,0,0,10
151,G129,Gastropoda,Pyramidellidae,Monotygma,lauta,Yes,0,0,0,0,1,0,0,0
152,G133,Gastropoda,Rissoinidae,Rissoina,bertholleti,Yes,57,1,218,8,0,0,188,12
153,G134,Gastropoda,Pyramidellidae,Parthenina,limitum,No,2,0,0,0,0,0,0,0
154,G139,Gastropoda,Columbellidae,Columbella,rustica,No,0,0,0,4,4,0,1,6
155,G144,Gastropoda,Rissoidae,Manzonia,crassa,No,0,0,0,0,0,0,0,2
156,G145,Gastropoda,Pyramidellidae,Noemiamea,dolioliformis,No,1,0,0,0,0,0,0,0
157,G146,Gastropoda,Pyramidellidae,Odostomia,improbabilis,No,1,0,1,0,0,0,0,0
158,G147,Gastropoda,Pyramidellidae,Parthenina,alesii,No,1,0,0,0,0,0,0,0
159,G149,Gastropoda,Pyramidellidae,Oscilla,jocosa,Yes,5,0,60,14,0,0,5,2
160,G151,Gastropoda,Haminoeidae,Haminoea,sp. 1,No,0,0,0,10,0,0,0,0
161,G153,Gastropoda,Siphonariidae,Williamia,gussoni,No,1,1,4,26,1,0,0,35
162,G154,Gastropoda,Turritellidae,Turritella,turbona,No,0,0,0,0,0,0,0,1
163,G165,Gastropoda,Philinidae,Philine,catena,No,0,0,0,0,0,0,0,1
164,G167,Gastropoda,Cerithiopsidae,Dizoniopsis,coppolae,No,0,0,0,0,0,0,0,3
165,G168,Gastropoda,Retusidae,Retusa,truncatula,No,0,0,0,0,0,0,1,2
166,G173,Gastropoda,Rissoidae,Alvania,lineata,No,0,0,0,0,0,0,0,3
167,G175,Gastropoda,Rissoidae,Alvania,amatii,No,0,0,3,0,0,0,3,1
168,G188,Gastropoda,Rissoidae,Pusillina,radiata,No,0,0,0,0,32,0,0,0
169,G189,Gastropoda,Eulimidae,Melanella,polita,No,0,0,0,0,0,0,0,2
170,G194,Gastropoda,Phasianellidae,Tricolia,pullus,No,0,0,0,0,0,0,0,4
171,G197,Gastropoda,Muricidae,Muricopsis,cristata,No,0,0,0,0,0,0,0,2
172,G200,Gastropoda,Trochidae,Clanculus,corallinus,No,0,0,0,0,0,1,0,9
173,G201,Gastropoda,Aplysiidae,Aplysia,parvula,No,0,2,57,16,0,0,3,0
174,G202,Gastropoda,Trochidae,Steromphala,varia,No,0,0,0,0,8,1,0,0
175,G205,Gastropoda,Nassariidae,Tritia,incrassata,No,1,0,0,0,1,2,1,4
176,G206,Gastropoda,Columbellidae,Zafra,selasphora,Yes,151,128,90,12,4,2,3,29
177,G207,Gastropoda,Trochidae,Gibbula,turbinoides,No,0,0,0,0,0,0,1,15
178,G209,Gastropoda,Bullidae,Bulla,striata,No,0,0,0,0,0,0,0,1
179,G212,Gastropoda,Pisaniidae,Enginella,leucozona,No,0,0,0,0,0,0,0,2
180,G214,Gastropoda,Vermetidae,Vermetus,rugulosus,No,1,2,33,24,0,0,13,3
181,G215,Gastropoda,Caecidae,Caecum,auriculatum,No,0,0,0,0,0,0,0,4
182,G219,Gastropoda,Phasianellidae,Tricolia,tenuis,No,0,0,0,0,2,0,0,6
183,G220,Gastropoda,Fissurellidae,Diodora,ruppellii,Yes,0,1,7,0,0,0,1,2
184,G221,Gastropoda,Fasciolariidae,Fusinus,buzzurroi,No,0,0,0,0,0,0,0,1
187,G232,Gastropoda,Pyramidellidae,Auristomia,barashi,No,0,0,0,0,0,1,1,0
188,G246,Gastropoda,Cerithiopsidae,Cerithiopsis,pulvis,Yes,7,25,8,7,1,2,0,0
189,G247,Gastropoda,Cerithiopsidae,Cerithiopsis,tenthrenois,Yes,14,11,30,8,2,0,1,2
190,G248,Gastropoda,Cerithiopsidae,Cerithiopsis,nana,No,2,0,0,0,1,0,0,0
191,G254,Gastropoda,Eulimidae,Sticteulima,lentiginosa,Yes,524,54,30,67,8,0,0,0
192,G255,Gastropoda,Eulimidae,Vitreolina,philippi,No,0,0,0,0,0,0,0,10
193,G256,Gastropoda,Eulimidae,Vitreolina,sp. 1,Yes,0,1,0,0,0,0,0,0
194,G259,Gastropoda,Rissoidae,Setia,sp. 3,No,0,0,0,0,0,1,0,0
195,G266,Gastropoda,Pyramidellidae,Odostomella,doliolum,No,0,0,0,0,0,1,0,1
196,G276,Gastropoda,Pyramidellidae,Turbonilla,pusilla,No,0,0,0,0,0,0,0,1
197,G290,Gastropoda,Pyramidellidae,Parthenina,monterosatii,No,0,0,0,0,1,0,0,0
198,G292,Gastropoda,Haminoeidae,Haminoea,sp. 2,No,15,12,3,15,1,0,0,0
199,G295,Gastropoda,Naticidae,Notocochlis,dillwynii,No,3,0,0,0,0,0,1,1
200,G302,Gastropoda,Tornidae,Circulus,striatus,No,0,0,0,0,1,1,0,0
201,G328,Gastropoda,Raphitomidae,Raphitoma,lineolata,No,0,0,0,0,0,0,0,1
202,G330,Gastropoda,Colubrariidae,Cumia,reticulata,No,0,0,0,0,0,0,0,1
203,G331,Gastropoda,Columbellidae,Mitrella,sp. Israel_1,No,0,0,0,0,0,0,0,1
204,G338,Gastropoda,Haminoeidae,Atys,jeffreysi,No,0,0,0,18,0,0,0,0
205,G345,Gastropoda,Turbinidae,Bolma,rugosa,No,0,0,0,0,0,0,0,1
206,G347,Gastropoda,Pyramidellidae,Odostomia,sicula,No,0,0,0,0,0,1,0,0
207,G349,Gastropoda,Pyramidellidae,Parthenina,terebellum,No,0,0,0,0,1,0,0,0
208,G352,Gastropoda,Triphoridae,Viriola,bayani,Yes,3,0,7,10,0,0,0,0
209,G353,Gastropoda,Raphitomidae,Clathromangelia,granum,No,0,0,0,0,0,0,0,2
210,G354,Gastropoda,Pyramidellidae,Turbonilla,edgarii,Yes,9,3,50,20,0,0,1,0
211,G355,Gastropoda,Naticidae,Naticarius,stercusmuscarum,No,0,0,0,0,1,1,0,0
212,G362,Gastropoda,Volvatellidae,Ascobulla,fragilis,No,0,0,0,1,0,0,0,0
213,G369,Gastropoda,Pyramidellidae,Parthenina,dantarti,No,0,0,0,0,0,1,0,0
214,G385,Gastropoda,Aglajidae,Biuve,fulvipunctata,Yes,0,0,9,1,0,0,0,0
215,G387,Gastropoda,Pyramidellidae,Pyrgulina,pirinthella,Yes,0,0,9,0,0,0,0,0
216,G390,Gastropoda,Dialidae,Diala,semistriata,Yes,0,0,477,463,0,0,3,11
217,G395,Gastropoda,Muricidae,Ergalatax,martensi,Yes,0,0,0,1,0,0,2,0
218,G398,Gastropoda,Litiopidae,Gibborissoia,virgata,Yes,0,0,0,0,3,0,0,0
219,G400,Gastropoda,Triphoridae,Metaxia,bacillum,Yes,14,0,0,1,4,0,0,0
220,G401,Gastropoda,Murchisonellidae,Murchisonella,mediterranea,No,0,0,0,6,0,0,0,0
221,G415,Gastropoda,Trochidae,Trochus,erithreus,Yes,0,0,0,0,0,0,0,4
222,G423,Gastropoda,Lottiidae,Tectura,virginea,No,0,0,0,0,0,0,0,5
223,G424,Gastropoda,Trochidae,Gibbula,fanulum,No,0,0,0,0,0,0,0,1
224,G428,Gastropoda,Xylodisculidae,Tomura,depressa,No,0,0,0,0,0,0,0,4
225,G433,Gastropoda,Cerithiidae,Cerithium,vulgatum,No,0,0,0,0,0,0,1,5
226,G440,Gastropoda,Rissoidae,Alvania,weinkauffi,No,0,0,0,0,0,0,0,5
227,G447,Gastropoda,Mitromorphidae,Mitromorpha,columbellaria,No,0,0,0,0,0,0,0,3
228,G466,Gastropoda,Rissoidae,Pusillina,inconspicua,No,0,0,0,2,0,3,0,0
229,G501,Gastropoda,Tylodinidae,Tylodina,perversa,No,0,1,1,0,0,0,2,1
230,G520,Gastropoda,Elachisinidae,Elachisina,sp.,Yes,0,0,0,23,0,0,0,1
231,G543,Gastropoda,Mnestiidae,Mnestia,girardi,Yes,0,0,5,13,0,0,0,2
232,G550,Gastropoda,Pyramidellidae,Oscilla,galilae,Yes,0,0,83,59,0,0,0,6
233,G563,Gastropoda,Fissurellidae,Emarginula,huzardii,No,0,0,0,0,0,1,0,0
234,G569,Gastropoda,Calliostomatidae,Calliostoma,zizyphinum,No,0,0,0,0,0,3,0,2
235,G598,Gastropoda,Rissoidae,Alvania,colossophilus,No,0,0,0,0,0,0,0,1
236,G600,Gastropoda,Rissoidae,Pusillina,marginata,No,0,0,0,4,0,0,0,22
237,G613,Gastropoda,Mathildidae,Mathilda,gemmulata,No,0,0,0,0,0,0,1,0
238,G615,Gastropoda,Vermetidae,Vermetus,triquetrus,No,0,0,1,0,0,0,0,0
239,G617,Gastropoda,Vermetidae,Thylacodes,arenarius,No,0,0,1,2,0,0,0,0
240,G621,Gastropoda,Cerithiopsidae,Cerithiopsis,minima,No,0,0,0,0,0,0,0,3
241,G638,Gastropoda,Eulimidae,Aclis,minor,No,0,0,0,0,0,1,0,0
242,G642,Gastropoda,Planaxidae,Fossarus,ambiguus,No,0,0,0,0,1,0,0,0
243,G664,Gastropoda,Muricidae,Ocenebra,erinaceus,No,0,0,0,0,4,0,0,0
244,G673,Gastropoda,Nassariidae,Nassarius,circumcinctus,No,0,0,0,0,15,0,0,0
245,G678,Gastropoda,Nassariidae,Tritia,louisi,No,0,0,0,0,0,0,0,3
246,G685,Gastropoda,Costellariidae,Pusia,ebenus,No,0,0,0,0,0,0,0,3
247,G702,Gastropoda,Pyramidellidae,Ondina,warreni,No,0,0,1,0,0,0,0,0
248,G703,Gastropoda,Pyramidellidae,Brachystomia,scalaris,No,1,0,5,0,0,0,0,0
249,G705,Gastropoda,Pyramidellidae,Odostomia,plicata,No,0,0,0,0,1,0,0,0
250,G706,Gastropoda,Pyramidellidae,Odostomia,turriculata,No,0,0,0,0,0,1,0,0
251,G709,Gastropoda,Pyramidellidae,Turbonilla,pumila,No,0,0,0,0,0,0,0,1
252,G776,Gastropoda,Trimusculidae,Trimusculus,mammillaris,No,0,0,0,0,1,0,0,0
253,G795,Gastropoda,Pyramidellidae,Pyrgulina,nana,Yes,0,2,6,0,0,0,0,0
254,G809,Gastropoda,Notodiaphanidae,Notodiaphana,atlantica,No,1,1,0,0,0,0,0,0
255,G814,Gastropoda,Cerithiopsidae,Cerithiopsis,sp.,No,12,3,26,10,0,0,0,0
256,G815,Gastropoda,Pyramidellidae,Turbonilla,cangeyrani,Yes,35,83,128,177,1,1,0,1
257,G816,Gastropoda,Eulimidae,Sticteulima,clandestina,Yes,1,54,0,1,0,0,0,0
258,G818,Gastropoda,Triviidae,Trivia,spongicola,No,0,0,0,1,0,0,0,0
259,G820,Gastropoda,Pyramidellidae,Genus,sp. 2,Yes,0,0,17,0,0,0,0,0
260,G822,Gastropoda,Eulimidae,Eulimidae,sp. non orthophyes,Yes,6,4,0,0,0,0,0,0
261,G823,Gastropoda,Eulimidae,Vitreolina,sp. aff. philippi,Yes,0,4,0,0,0,0,0,0
262,G824,Gastropoda,Rissoidae,Alvania,dorbignyi perversa,No,0,0,1,0,0,0,1,0
263,G831,Gastropoda,Cimidae,Cima,cylindrica,No,0,0,0,1,0,0,0,0
264,G858,Gastropoda,Iravadiidae,Iravadia,elongata,Yes,1,0,0,0,0,0,0,0
265,G860,Gastropoda,Epitoniidae,Cycloscala,hyalina,Yes,0,0,2,0,0,0,0,0
266,G861,Gastropoda,Pyramidellidae,Odostomia,sp. 8,Yes,0,0,5,1,0,0,0,0
267,G862,Gastropoda,Pyramidellidae,Oscilla,appeliusi,Yes,0,0,1,1,0,0,0,0
268,G883,Gastropoda,Pyramidellidae,Spiralinella,sp.,Yes,49,3,2,3,0,0,0,0
269,G884,Gastropoda,Eulimidae,Parvioris,sp. (imitatrix/dilecta),Yes,0,0,3,0,0,0,0,0
270,G887,Gastropoda,Pyramidellidae,Parthenina,cossmanni,Yes,1,0,0,0,0,0,0,0
271,P001,Polyplacophora,Acanthochitonidae,Acanthochitona,fascicularis,No,0,0,0,0,1,0,1,2
272,P002,Polyplacophora,Leptochitonidae,Leptochiton,bedullii,No,0,0,0,2,0,0,0,0
273,P003,Polyplacophora,Callochitonidae,Callochiton,septemvalvis,No,0,0,0,0,0,0,0,2
274,P004,Polyplacophora,Chitonidae,Chiton,olivaceus,No,0,0,0,0,0,0,0,1
275,P009,Polyplacophora,Chitonidae,Chiton,corallinus,No,0,0,0,0,0,0,0,1
276,P010,Polyplacophora,Leptochitonidae,Lepidochitona,cinerea,No,0,0,0,0,0,0,0,1
